what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164013335
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164101580
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164104538
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164106983
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164114283
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164236580
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164249885
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1297164253600
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1297164253736
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1297164254058
started,bundle,org.eclipse.equinox.security.ui,1.0.100.v20090520-1800,"org.eclipse.equinox.security.ui",1297164279249
error,log,,,"Unhandled event loop exception",1297164313946
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297164319137
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.aboutAction",1297164322187
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1297164322632
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1297164322666
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1297164322668
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1297164322671
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1297164322673
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1297164322684
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1297164322693
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1297164322707
